header 1: FORM   header filesize(d): 130285396   header 2: IFRS
index name: Pict  index number(d): 260   starts at(h): 01A1E424

index name: Pict  index number(d): 261   starts at(h): 01A4AB46

index name: Pict  index number(d): 262   starts at(h): 01A6FD14

index name: Pict  index number(d): 263   starts at(h): 01A9AB02

index name: Pict  index number(d): 264   starts at(h): 01ACA93A

index name: Pict  index number(d): 265   starts at(h): 01AF4EF6

index name: Pict  index number(d): 266   starts at(h): 01B1FF36

index name: Pict  index number(d): 267   starts at(h): 01B4A5DC

index name: Pict  index number(d): 268   starts at(h): 01B6CFC0

index name: Pict  index number(d): 269   starts at(h): 01B98630

index name: Pict  index number(d): 270   starts at(h): 01BC55B4

index name: Pict  index number(d): 271   starts at(h): 01BF37AC

index name: Pict  index number(d): 272   starts at(h): 01C1B2E0

index name: Pict  index number(d): 273   starts at(h): 01C38298

index name: Pict  index number(d): 274   starts at(h): 01C66B1E

index name: Pict  index number(d): 275   starts at(h): 01C89050

index name: Pict  index number(d): 276   starts at(h): 01CB74E4

index name: Pict  index number(d): 277   starts at(h): 01CE161C

index name: Pict  index number(d): 278   starts at(h): 01D0CB10

index name: Pict  index number(d): 279   starts at(h): 01D34580

index name: Pict  index number(d): 280   starts at(h): 01D6A4F4

index name: Pict  index number(d): 281   starts at(h): 01D90D8A

index name: Pict  index number(d): 282   starts at(h): 01DB1A60

index name: Pict  index number(d): 283   starts at(h): 01DDCFA2

index name: Pict  index number(d): 284   starts at(h): 01DF139A

index name: Pict  index number(d): 285   starts at(h): 01DFAF84

index name: Pict  index number(d): 286   starts at(h): 01E10A90

index name: Pict  index number(d): 287   starts at(h): 01E31C46

index name: Pict  index number(d): 288   starts at(h): 01E49194

index name: Pict  index number(d): 289   starts at(h): 01E5E546

index name: Pict  index number(d): 290   starts at(h): 01E77F8A

index name: Pict  index number(d): 291   starts at(h): 01EA1374

index name: Pict  index number(d): 292   starts at(h): 01EB7FAE

index name: Pict  index number(d): 293   starts at(h): 01EDC634

index name: Pict  index number(d): 294   starts at(h): 01EF8E3C

index name: Pict  index number(d): 295   starts at(h): 01F1C75A

index name: Pict  index number(d): 296   starts at(h): 01F3AF48

index name: Pict  index number(d): 297   starts at(h): 01F50666

index name: Pict  index number(d): 298   starts at(h): 01F65A56

index name: Pict  index number(d): 299   starts at(h): 01F86470

index name: Pict  index number(d): 300   starts at(h): 01FADB68

index name: Pict  index number(d): 301   starts at(h): 01FCEC74

index name: Pict  index number(d): 302   starts at(h): 01FE75D8

index name: Pict  index number(d): 303   starts at(h): 0200BC04

index name: Pict  index number(d): 304   starts at(h): 02030DDC

index name: Pict  index number(d): 305   starts at(h): 02054302

index name: Pict  index number(d): 306   starts at(h): 020784F6

index name: Pict  index number(d): 307   starts at(h): 0208D846

index name: Pict  index number(d): 308   starts at(h): 020B2284

index name: Pict  index number(d): 309   starts at(h): 020CC386

index name: Pict  index number(d): 310   starts at(h): 020E9F06

index name: Pict  index number(d): 311   starts at(h): 0210F052

